fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
28.7967,16.0021,2.6449,0.3918,0.1982,27.7004,22.011,-8.2027,40.092,81.8828,g
31.6036,11.7235,2.5185,0.5303,0.3773,26.2722,23.8238,-9.9574,6.3609,205.261,g
162.052,136.031,4.0612,0.0374,0.0187,116.741,-64.858,-45.216,76.96,256.788,g
23.8172,9.5728,2.3385,0.6147,0.3922,27.2107,-6.4633,-7.1513,10.449,116.737,g
75.1362,30.9205,3.1611,0.3168,0.1832,-5.5277,28.5525,21.8393,4.648,356.462,g
93.2868,41.7445,4.1444,0.095,0.0479,8.3701,78.9896,30.5439,1.5522,275.117,g
25.2333,7.5107,2.3222,0.681,0.3881,-13.008,11.1798,5.0984,17.1998,137.824,g
18.2475,12.7427,2.4793,0.5804,0.3035,5.0215,-13.079,9.0867,14.9667,115.333,g
27.5402,7.9365,2.29,0.5949,0.3154,17.1615,-16.7625,-5.4287,9.928,213.261,g
33.3308,10.1151,2.472,0.6307,0.3828,-36.3157,-23.9989,7.9524,22.93,306.145,g
50.0677,17.6383,2.8052,0.2443,0.1245,-69.2489,-33.4756,-12.1053,21.887,233.149,g
26.1083,19.3348,2.6513,0.3571,0.2132,17.0059,12.6018,-10.5685,17.658,254.888,g
57.111,15.9127,2.5711,0.4295,0.2161,31.4437,62.9231,-15.8723,39.9411,145.202,g
36.7172,23.8754,3.2685,0.2312,0.1215,8.0276,23.4216,-12.0407,3.0427,86.714,g
37.3135,15.1553,2.7931,0.277,0.1409,42.6178,24.4088,-8.6108,6.6237,151.793,g
66.8153,21.9456,3.1818,0.202,0.1049,57.4815,65.0778,-14.1027,9.1974,179.243,g
72.3361,20.4438,2.9501,0.4218,0.2563,-25.9266,35.8239,-24.5737,1.832,335.901,g
28.1159,15.6551,2.5472,0.3716,0.2057,-25.4921,-23.8238,-12.4067,3.465,218.68,g
80.0032,21.2266,3.2118,0.2039,0.1022,-131.504,64.7447,13.4333,9.041,303.467,g
32.169,23.6508,3.104,0.2314,0.1279,21.2629,23.9994,13.0646,60.7186,103.947,g
58.8021,16.8468,2.9162,0.3287,0.1898,64.3127,38.5262,7.3994,2.5713,260.66,g
21.1275,12.5178,2.2541,0.4513,0.2312,29.3205,-5.8869,9.6623,30.368,98.0832,g
23.3283,12.853,2.2253,0.5536,0.2887,-17.0868,-9.4313,-7.0042,0.663,179.457,g
26.6016,0,2.2188,0.7915,0.432,-27.8246,-13.8735,-0.0001,15.92,189.441,g
26.4307,13.9352,2.4601,0.3986,0.2409,-7.9736,-16.8454,-9.4322,22.393,160.798,g
19.5686,10.9677,2.3222,0.6667,0.35,-14.9882,-17.7184,6.5899,10.9472,165.183,g
61.3416,24.4418,3.5471,0.1549,0.0785,3.6469,60.7341,-8.9958,0.8541,186.119,g
76.244,22.5596,3.2477,0.1888,0.0986,70.9399,71.2976,18.2649,5.054,237.938,g
27.2873,21.3621,2.7063,0.3422,0.1878,-2.8401,-17.936,11.2756,17.919,73.7366,g
90.0781,32.3167,3.8758,0.133,0.0704,-66.0988,77.9192,-10.3074,3.343,275.422,g
72.2842,22.003,2.7631,0.2778,0.1665,-48.6834,33.3607,22.8024,2.371,313.163,g
33.9349,14.5479,2.5478,0.3343,0.1827,6.9826,-19.9363,-10.4144,8.1657,232.97,g
21.7471,10.5469,2.2201,0.6145,0.4006,19.606,20.5637,-11.5252,16.005,158.279,g
21.143,6.8428,2.0737,0.7426,0.4346,21.5922,14.1347,-6.2006,61.5734,171.131,g
20.2916,10.0261,2.3324,0.6186,0.3837,-3.7675,15.1637,-8.0088,67.912,170.446,g
79.6249,39.2926,3.5103,0.151,0.078,-24.2103,66.9794,26.9459,7.07,307.477,g
19.1132,9.5944,2.3674,0.6652,0.4399,5.688,-14.7571,10.26,6.052,65.0976,g
44.084,9.7187,2.6091,0.3985,0.2226,48.206,23.3322,-10.1423,8.387,204.249,g
42.8206,17.3629,2.8686,0.3045,0.1631,4.0496,39.6461,-8.7974,22.0916,117.341,g
97.7238,23.5901,2.6981,0.4148,0.2194,-102.496,55.8828,7.1291,15.162,224.241,g
12.59,11.8424,2.1538,0.6947,0.3754,-16.1464,9.8556,7.9256,84.3099,46.2508,g
28.7485,9.6862,2.4108,0.4854,0.2893,38.7305,-15.7221,-6.489,1.068,197.412,g
22.1635,15.3738,2.5514,0.4382,0.2261,29.7541,-9.5821,-4.5724,26.5822,110.607,g
95.5973,25.7806,3.4943,0.2169,0.1152,-13.2794,43.3393,16.6877,0.5731,327.217,g
79.8595,36.1835,3.675,0.2153,0.1149,-26.4658,-19.1244,-12.5419,1.827,356.012,g
18.2804,12.5776,2.5472,0.5617,0.322,-1.3158,10.3272,7.9166,47.0022,141.085,g
